Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Overhead;Jitting;1;403400;1;403400;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Jitting;1;195357600;1;195357600;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;1;44200;2;22100;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;2;58600;3;19533.33;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;3;119000;4;29750;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;4;92100;5;18420;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;5;112000;6;18666.67;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;6;127600;7;18228.57;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;7;142500;8;17812.5;586;0;0;56112
BenchmarkRunnerOnList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CustomersCount=1;1;Workload;Pilot;8;153800;9;17088.89;586;0;0;56112
