Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Overhead;Jitting;1;400200;1;400200;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Jitting;1;160392400;1;160392400;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;1;5500;2;2750;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;2;15800;3;5266.67;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;3;4000;4;1000;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;4;4300;5;860;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;5;4100;6;683.33;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;6;5100;7;728.57;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;7;13700;8;1712.5;299;0;0;112
BenchmarkRunnerOnSampleList.MapWithMapster;BenchmarkMappers;BenchmarkRunnerOnSampleList;MapWithMapster;DefaultJob;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;DefaultJob;CitysCount=1;1;Workload;Pilot;8;4100;9;455.56;299;0;0;112
