Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;CitysCount;Mean;Error;StdDev;Median;Ratio;RatioSD;Rank;Completed Work Items;Lock Contentions;Gen 0;Gen 1;Gen 2;Allocated
MapWithMapster;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;71.42 ns;1.428 ns;3.133 ns;71.23 ns;0.80;0.02;1;0.0000;0.0000;0.0356;0.0000;0.0000;112 B
MapWithManualMapping;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;87.84 ns;0.287 ns;0.224 ns;87.88 ns;1.00;0.00;2;0.0000;0.0000;0.0790;0.0000;0.0000;248 B
MapWithAutoMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;174.98 ns;1.054 ns;0.934 ns;174.64 ns;1.99;0.01;3;0.0000;0.0000;0.0432;0.0000;0.0000;136 B
MapWithTinyMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;233.11 ns;4.610 ns;7.574 ns;230.14 ns;2.68;0.08;4;0.0000;0.0000;0.0560;0.0000;0.0000;176 B
MapWithAgileMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;236.91 ns;3.997 ns;3.338 ns;236.00 ns;2.69;0.03;4;0.0000;0.0000;0.1197;0.0000;0.0000;376 B
MapWithExpressMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1;"1,739.35 ns";37.595 ns;110.850 ns;"1,728.97 ns";19.91;0.84;5;0.0000;0.0000;0.2117;0.0000;0.0000;664 B
MapWithMapster;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;226.84 ns;2.862 ns;2.537 ns;225.91 ns;0.87;0.01;1;0.0000;0.0000;0.1962;0.0000;0.0000;616 B
MapWithManualMapping;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;261.70 ns;1.397 ns;1.307 ns;261.97 ns;1.00;0.00;2;0.0000;0.0000;0.2394;0.0000;0.0000;752 B
MapWithAgileMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;494.86 ns;9.663 ns;18.150 ns;497.84 ns;1.83;0.08;3;0.0000;0.0000;0.2804;0.0000;0.0000;880 B
MapWithAutoMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;514.13 ns;10.327 ns;30.124 ns;500.18 ns;2.02;0.12;3;0.0000;0.0000;0.2575;0.0000;0.0000;808 B
MapWithTinyMapper;DefaultJob;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Core 5.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;10;720.83 ns;11.333 ns;10.601 ns;720.57 ns;2.75;0.04;4;0.0000;0.0000;0.2699;0.0000;0.0000;848 B
